run,type,module,name,attrname,attrvalue,value
UniformCQI-33-20180915-18:13:39-15309,runattr,,,repetition,3,
UniformCQI-33-20180915-18:13:39-15309,runattr,,,replication,#3,
UniformCQI-33-20180915-18:13:39-15309,runattr,,,resultdir,results,
UniformCQI-33-20180915-18:13:39-15309,runattr,,,runnumber,33,
UniformCQI-33-20180915-18:13:39-15309,runattr,,,seedset,3,
UniformCQI-33-20180915-18:13:39-15309,itervar,,,usertraffic,1.6,
UniformCQI-33-20180915-18:13:39-15309,param,,,**.webServer[*].lambda,1.6,
UniformCQI-33-20180915-18:13:39-15309,param,,,**.bestCQIScheduler,false,
UniformCQI-33-20180915-18:13:39-15309,param,,,CellularNetwork.users[*].isBinomial,false,
UniformCQI-33-20180915-18:13:39-15309,param,,,**.nUsersCell,10,
UniformCQI-33-20180915-18:13:39-15309,param,,,**.**.timeFramePeriod,1ms,
UniformCQI-33-20180915-18:13:39-15309,param,,,**.**.nFrameSlots,25,
UniformCQI-33-20180915-18:13:39-15309,param,,,**.webServer[*].size_uniform_a,3,
UniformCQI-33-20180915-18:13:39-15309,param,,,**.webServer[*].size_uniform_b,75,
UniformCQI-33-20180915-18:13:39-15309,param,,,CellularNetwork.users[*].cqi_binomial_n,14,
UniformCQI-33-20180915-18:13:39-15309,param,,,CellularNetwork.users[*].cqi_binomial_p,0.5,
UniformCQI-33-20180915-18:13:39-15309,param,,,CellularNetwork.users[*].validationCQI,false,
UniformCQI-33-20180915-18:13:39-15309,param,,,CellularNetwork.users[*].fixedCQI,0,
UniformCQI-33-20180915-18:13:39-15309,param,,,**.webServer[*].fixedRate,false,
UniformCQI-1-20180915-18:13:01-15135,runattr,,,configname,UniformCQI,
UniformCQI-1-20180915-18:13:01-15135,runattr,,,datetime,20180915-18:13:01,
UniformCQI-1-20180915-18:13:01-15135,runattr,,,experiment,UniformCQI,
UniformCQI-1-20180915-18:13:01-15135,runattr,,,inifile,omnetpp.ini,
UniformCQI-1-20180915-18:13:01-15135,runattr,,,iterationvars,$usertraffic=0.1,
UniformCQI-1-20180915-18:13:01-15135,runattr,,,iterationvarsf,usertraffic=0.1-,
UniformCQI-1-20180915-18:13:01-15135,runattr,,,measurement,$usertraffic=0.1,
UniformCQI-1-20180915-18:13:01-15135,runattr,,,network,rrcellnet.CellularNetwork,
UniformCQI-1-20180915-18:13:01-15135,runattr,,,processid,15135,
UniformCQI-1-20180915-18:13:01-15135,runattr,,,repetition,1,
UniformCQI-1-20180915-18:13:01-15135,runattr,,,replication,#1,
UniformCQI-1-20180915-18:13:01-15135,runattr,,,resultdir,results,
UniformCQI-1-20180915-18:13:01-15135,runattr,,,runnumber,1,
UniformCQI-1-20180915-18:13:01-15135,runattr,,,seedset,1,
UniformCQI-1-20180915-18:13:01-15135,itervar,,,usertraffic,0.1,
UniformCQI-1-20180915-18:13:01-15135,param,,,**.webServer[*].lambda,0.1,
UniformCQI-1-20180915-18:13:01-15135,param,,,**.bestCQIScheduler,false,
UniformCQI-1-20180915-18:13:01-15135,param,,,CellularNetwork.users[*].isBinomial,false,
UniformCQI-1-20180915-18:13:01-15135,param,,,**.nUsersCell,10,
UniformCQI-1-20180915-18:13:01-15135,param,,,**.**.timeFramePeriod,1ms,
UniformCQI-1-20180915-18:13:01-15135,param,,,**.**.nFrameSlots,25,
UniformCQI-1-20180915-18:13:01-15135,param,,,**.webServer[*].size_uniform_a,3,
UniformCQI-1-20180915-18:13:01-15135,param,,,**.webServer[*].size_uniform_b,75,
UniformCQI-1-20180915-18:13:01-15135,param,,,CellularNetwork.users[*].cqi_binomial_n,14,
UniformCQI-1-20180915-18:13:01-15135,param,,,CellularNetwork.users[*].cqi_binomial_p,0.5,
UniformCQI-1-20180915-18:13:01-15135,param,,,CellularNetwork.users[*].validationCQI,false,
UniformCQI-1-20180915-18:13:01-15135,param,,,CellularNetwork.users[*].fixedCQI,0,
UniformCQI-1-20180915-18:13:01-15135,param,,,**.webServer[*].fixedRate,false,
UniformCQI-3-20180915-18:13:04-15158,runattr,,,configname,UniformCQI,
UniformCQI-3-20180915-18:13:04-15158,runattr,,,datetime,20180915-18:13:04,
UniformCQI-3-20180915-18:13:04-15158,runattr,,,experiment,UniformCQI,
UniformCQI-3-20180915-18:13:04-15158,runattr,,,inifile,omnetpp.ini,
UniformCQI-3-20180915-18:13:04-15158,runattr,,,iterationvars,$usertraffic=0.1,
UniformCQI-3-20180915-18:13:04-15158,runattr,,,iterationvarsf,usertraffic=0.1-,
UniformCQI-3-20180915-18:13:04-15158,runattr,,,measurement,$usertraffic=0.1,
UniformCQI-3-20180915-18:13:04-15158,runattr,,,network,rrcellnet.CellularNetwork,
UniformCQI-3-20180915-18:13:04-15158,runattr,,,processid,15158,
UniformCQI-3-20180915-18:13:04-15158,runattr,,,repetition,3,
UniformCQI-3-20180915-18:13:04-15158,runattr,,,replication,#3,
UniformCQI-3-20180915-18:13:04-15158,runattr,,,resultdir,results,
UniformCQI-3-20180915-18:13:04-15158,runattr,,,runnumber,3,
UniformCQI-3-20180915-18:13:04-15158,runattr,,,seedset,3,
UniformCQI-3-20180915-18:13:04-15158,itervar,,,usertraffic,0.1,
UniformCQI-3-20180915-18:13:04-15158,param,,,**.webServer[*].lambda,0.1,
UniformCQI-3-20180915-18:13:04-15158,param,,,**.bestCQIScheduler,false,
UniformCQI-3-20180915-18:13:04-15158,param,,,CellularNetwork.users[*].isBinomial,false,
UniformCQI-3-20180915-18:13:04-15158,param,,,**.nUsersCell,10,
UniformCQI-3-20180915-18:13:04-15158,param,,,**.**.timeFramePeriod,1ms,
UniformCQI-3-20180915-18:13:04-15158,param,,,**.**.nFrameSlots,25,
UniformCQI-3-20180915-18:13:04-15158,param,,,**.webServer[*].size_uniform_a,3,
UniformCQI-3-20180915-18:13:04-15158,param,,,**.webServer[*].size_uniform_b,75,
