run,type,module,name,attrname,attrvalue,value
NoFramingTest-2-20180914-15:53:53-24562,runattr,,,inifile,omnetpp.ini,
NoFramingTest-2-20180914-15:53:53-24562,runattr,,,iterationvars,$usertraffic=0.1,
NoFramingTest-2-20180914-15:53:53-24562,runattr,,,iterationvarsf,usertraffic=0.1-,
NoFramingTest-2-20180914-15:53:53-24562,runattr,,,measurement,$usertraffic=0.1,
NoFramingTest-2-20180914-15:53:53-24562,runattr,,,network,rrcellnet.CellularNetwork,
NoFramingTest-2-20180914-15:53:53-24562,runattr,,,processid,24562,
NoFramingTest-2-20180914-15:53:53-24562,runattr,,,repetition,2,
NoFramingTest-2-20180914-15:53:53-24562,runattr,,,replication,#2,
NoFramingTest-2-20180914-15:53:53-24562,runattr,,,resultdir,results,
NoFramingTest-2-20180914-15:53:53-24562,runattr,,,runnumber,2,
NoFramingTest-2-20180914-15:53:53-24562,runattr,,,seedset,2,
NoFramingTest-2-20180914-15:53:53-24562,itervar,,,usertraffic,0.1,
NoFramingTest-2-20180914-15:53:53-24562,param,,,**.webServer[*].lambda,0.1,
NoFramingTest-2-20180914-15:53:53-24562,param,,,**.bestCQIScheduler,false,
NoFramingTest-2-20180914-15:53:53-24562,param,,,CellularNetwork.users[*].isBinomial,false,
NoFramingTest-2-20180914-15:53:53-24562,param,,,**.webServer[*].size_uniform_a,25,
NoFramingTest-2-20180914-15:53:53-24562,param,,,**.webServer[*].size_uniform_b,25,
NoFramingTest-2-20180914-15:53:53-24562,param,,,**.nUsersCell,10,
NoFramingTest-2-20180914-15:53:53-24562,param,,,**.**.timeFramePeriod,1ms,
NoFramingTest-2-20180914-15:53:53-24562,param,,,**.**.nFrameSlots,25,
NoFramingTest-2-20180914-15:53:53-24562,param,,,**.webServer[*].size_uniform_a,3,
NoFramingTest-2-20180914-15:53:53-24562,param,,,**.webServer[*].size_uniform_b,75,
NoFramingTest-2-20180914-15:53:53-24562,param,,,CellularNetwork.users[*].cqi_binomial_n,14,
NoFramingTest-2-20180914-15:53:53-24562,param,,,CellularNetwork.users[*].cqi_binomial_p,0.5,
NoFramingTest-2-20180914-15:53:53-24562,param,,,CellularNetwork.users[*].validationCQI,false,
NoFramingTest-2-20180914-15:53:53-24562,param,,,CellularNetwork.users[*].fixedCQI,0,
NoFramingTest-2-20180914-15:53:53-24562,param,,,**.webServer[*].fixedRate,false,
NoFramingTest-3-20180914-15:53:53-24565,runattr,,,configname,NoFramingTest,
NoFramingTest-3-20180914-15:53:53-24565,runattr,,,datetime,20180914-15:53:53,
NoFramingTest-3-20180914-15:53:53-24565,runattr,,,experiment,NoFramingTest,
NoFramingTest-3-20180914-15:53:53-24565,runattr,,,inifile,omnetpp.ini,
NoFramingTest-3-20180914-15:53:53-24565,runattr,,,iterationvars,$usertraffic=0.1,
NoFramingTest-3-20180914-15:53:53-24565,runattr,,,iterationvarsf,usertraffic=0.1-,
NoFramingTest-3-20180914-15:53:53-24565,runattr,,,measurement,$usertraffic=0.1,
NoFramingTest-3-20180914-15:53:53-24565,runattr,,,network,rrcellnet.CellularNetwork,
NoFramingTest-3-20180914-15:53:53-24565,runattr,,,processid,24565,
NoFramingTest-3-20180914-15:53:53-24565,runattr,,,repetition,3,
NoFramingTest-3-20180914-15:53:53-24565,runattr,,,replication,#3,
NoFramingTest-3-20180914-15:53:53-24565,runattr,,,resultdir,results,
NoFramingTest-3-20180914-15:53:53-24565,runattr,,,runnumber,3,
NoFramingTest-3-20180914-15:53:53-24565,runattr,,,seedset,3,
NoFramingTest-3-20180914-15:53:53-24565,itervar,,,usertraffic,0.1,
NoFramingTest-3-20180914-15:53:53-24565,param,,,**.webServer[*].lambda,0.1,
NoFramingTest-3-20180914-15:53:53-24565,param,,,**.bestCQIScheduler,false,
NoFramingTest-3-20180914-15:53:53-24565,param,,,CellularNetwork.users[*].isBinomial,false,
NoFramingTest-3-20180914-15:53:53-24565,param,,,**.webServer[*].size_uniform_a,25,
NoFramingTest-3-20180914-15:53:53-24565,param,,,**.webServer[*].size_uniform_b,25,
NoFramingTest-3-20180914-15:53:53-24565,param,,,**.nUsersCell,10,
NoFramingTest-3-20180914-15:53:53-24565,param,,,**.**.timeFramePeriod,1ms,
NoFramingTest-3-20180914-15:53:53-24565,param,,,**.**.nFrameSlots,25,
NoFramingTest-3-20180914-15:53:53-24565,param,,,**.webServer[*].size_uniform_a,3,
NoFramingTest-3-20180914-15:53:53-24565,param,,,**.webServer[*].size_uniform_b,75,
NoFramingTest-3-20180914-15:53:53-24565,param,,,CellularNetwork.users[*].cqi_binomial_n,14,
NoFramingTest-3-20180914-15:53:53-24565,param,,,CellularNetwork.users[*].cqi_binomial_p,0.5,
NoFramingTest-3-20180914-15:53:53-24565,param,,,CellularNetwork.users[*].validationCQI,false,
NoFramingTest-3-20180914-15:53:53-24565,param,,,CellularNetwork.users[*].fixedCQI,0,
NoFramingTest-3-20180914-15:53:53-24565,param,,,**.webServer[*].fixedRate,false,
NoFramingTest-4-20180914-15:53:54-24596,runattr,,,configname,NoFramingTest,
NoFramingTest-4-20180914-15:53:54-24596,runattr,,,datetime,20180914-15:53:54,
NoFramingTest-4-20180914-15:53:54-24596,runattr,,,experiment,NoFramingTest,
NoFramingTest-4-20180914-15:53:54-24596,runattr,,,inifile,omnetpp.ini,
NoFramingTest-4-20180914-15:53:54-24596,runattr,,,iterationvars,$usertraffic=0.1,
NoFramingTest-4-20180914-15:53:54-24596,runattr,,,iterationvarsf,usertraffic=0.1-,
NoFramingTest-4-20180914-15:53:54-24596,runattr,,,measurement,$usertraffic=0.1,
NoFramingTest-4-20180914-15:53:54-24596,runattr,,,network,rrcellnet.CellularNetwork,
NoFramingTest-4-20180914-15:53:54-24596,runattr,,,processid,24596,
NoFramingTest-4-20180914-15:53:54-24596,runattr,,,repetition,4,
NoFramingTest-4-20180914-15:53:54-24596,runattr,,,replication,#4,
NoFramingTest-4-20180914-15:53:54-24596,runattr,,,resultdir,results,
NoFramingTest-4-20180914-15:53:54-24596,runattr,,,runnumber,4,
NoFramingTest-4-20180914-15:53:54-24596,runattr,,,seedset,4,
NoFramingTest-4-20180914-15:53:54-24596,itervar,,,usertraffic,0.1,
NoFramingTest-4-20180914-15:53:54-24596,param,,,**.webServer[*].lambda,0.1,
NoFramingTest-4-20180914-15:53:54-24596,param,,,**.bestCQIScheduler,false,
NoFramingTest-4-20180914-15:53:54-24596,param,,,CellularNetwork.users[*].isBinomial,false,
NoFramingTest-4-20180914-15:53:54-24596,param,,,**.webServer[*].size_uniform_a,25,
NoFramingTest-4-20180914-15:53:54-24596,param,,,**.webServer[*].size_uniform_b,25,
NoFramingTest-4-20180914-15:53:54-24596,param,,,**.nUsersCell,10,
NoFramingTest-4-20180914-15:53:54-24596,param,,,**.**.timeFramePeriod,1ms,
NoFramingTest-4-20180914-15:53:54-24596,param,,,**.**.nFrameSlots,25,
NoFramingTest-4-20180914-15:53:54-24596,param,,,**.webServer[*].size_uniform_a,3,
NoFramingTest-4-20180914-15:53:54-24596,param,,,**.webServer[*].size_uniform_b,75,
NoFramingTest-4-20180914-15:53:54-24596,param,,,CellularNetwork.users[*].cqi_binomial_n,14,
NoFramingTest-4-20180914-15:53:54-24596,param,,,CellularNetwork.users[*].cqi_binomial_p,0.5,
NoFramingTest-4-20180914-15:53:54-24596,param,,,CellularNetwork.users[*].validationCQI,false,
NoFramingTest-4-20180914-15:53:54-24596,param,,,CellularNetwork.users[*].fixedCQI,0,
NoFramingTest-4-20180914-15:53:54-24596,param,,,**.webServer[*].fixedRate,false,
NoFramingTest-5-20180914-15:53:55-24600,runattr,,,configname,NoFramingTest,
NoFramingTest-5-20180914-15:53:55-24600,runattr,,,datetime,20180914-15:53:55,
NoFramingTest-5-20180914-15:53:55-24600,runattr,,,experiment,NoFramingTest,
NoFramingTest-5-20180914-15:53:55-24600,runattr,,,inifile,omnetpp.ini,
NoFramingTest-5-20180914-15:53:55-24600,runattr,,,iterationvars,$usertraffic=0.1,
NoFramingTest-5-20180914-15:53:55-24600,runattr,,,iterationvarsf,usertraffic=0.1-,
NoFramingTest-5-20180914-15:53:55-24600,runattr,,,measurement,$usertraffic=0.1,
NoFramingTest-5-20180914-15:53:55-24600,runattr,,,network,rrcellnet.CellularNetwork,
NoFramingTest-5-20180914-15:53:55-24600,runattr,,,processid,24600,
NoFramingTest-5-20180914-15:53:55-24600,runattr,,,repetition,5,
NoFramingTest-5-20180914-15:53:55-24600,runattr,,,replication,#5,
NoFramingTest-5-20180914-15:53:55-24600,runattr,,,resultdir,results,
NoFramingTest-5-20180914-15:53:55-24600,runattr,,,runnumber,5,
NoFramingTest-5-20180914-15:53:55-24600,runattr,,,seedset,5,
NoFramingTest-5-20180914-15:53:55-24600,itervar,,,usertraffic,0.1,
NoFramingTest-5-20180914-15:53:55-24600,param,,,**.webServer[*].lambda,0.1,
NoFramingTest-5-20180914-15:53:55-24600,param,,,**.bestCQIScheduler,false,
NoFramingTest-5-20180914-15:53:55-24600,param,,,CellularNetwork.users[*].isBinomial,false,
NoFramingTest-5-20180914-15:53:55-24600,param,,,**.webServer[*].size_uniform_a,25,
NoFramingTest-5-20180914-15:53:55-24600,param,,,**.webServer[*].size_uniform_b,25,
NoFramingTest-5-20180914-15:53:55-24600,param,,,**.nUsersCell,10,
NoFramingTest-5-20180914-15:53:55-24600,param,,,**.**.timeFramePeriod,1ms,
NoFramingTest-5-20180914-15:53:55-24600,param,,,**.**.nFrameSlots,25,
NoFramingTest-5-20180914-15:53:55-24600,param,,,**.webServer[*].size_uniform_a,3,
NoFramingTest-5-20180914-15:53:55-24600,param,,,**.webServer[*].size_uniform_b,75,
NoFramingTest-5-20180914-15:53:55-24600,param,,,CellularNetwork.users[*].cqi_binomial_n,14,
NoFramingTest-5-20180914-15:53:55-24600,param,,,CellularNetwork.users[*].cqi_binomial_p,0.5,
NoFramingTest-5-20180914-15:53:55-24600,param,,,CellularNetwork.users[*].validationCQI,false,
NoFramingTest-5-20180914-15:53:55-24600,param,,,CellularNetwork.users[*].fixedCQI,0,
NoFramingTest-5-20180914-15:53:55-24600,param,,,**.webServer[*].fixedRate,false,
NoFramingTest-6-20180914-15:53:55-24606,runattr,,,configname,NoFramingTest,
NoFramingTest-6-20180914-15:53:55-24606,runattr,,,datetime,20180914-15:53:55,
NoFramingTest-6-20180914-15:53:55-24606,runattr,,,experiment,NoFramingTest,
NoFramingTest-6-20180914-15:53:55-24606,runattr,,,inifile,omnetpp.ini,
NoFramingTest-6-20180914-15:53:55-24606,runattr,,,iterationvars,$usertraffic=0.1,
NoFramingTest-6-20180914-15:53:55-24606,runattr,,,iterationvarsf,usertraffic=0.1-,
