run,type,module,name,attrname,attrvalue,value
UniformCQI_bestCQIScheduler-3-20180914-17:34:46-26857,param,,,CellularNetwork.users[*].cqi_binomial_n,14,
UniformCQI_bestCQIScheduler-3-20180914-17:34:46-26857,param,,,CellularNetwork.users[*].cqi_binomial_p,0.5,
UniformCQI_bestCQIScheduler-3-20180914-17:34:46-26857,param,,,CellularNetwork.users[*].validationCQI,false,
UniformCQI_bestCQIScheduler-3-20180914-17:34:46-26857,param,,,CellularNetwork.users[*].fixedCQI,0,
UniformCQI_bestCQIScheduler-3-20180914-17:34:46-26857,param,,,**.webServer[*].fixedRate,false,
UniformCQI_bestCQIScheduler-0-20180914-17:34:46-26852,runattr,,,configname,UniformCQI_bestCQIScheduler,
UniformCQI_bestCQIScheduler-0-20180914-17:34:46-26852,runattr,,,datetime,20180914-17:34:46,
UniformCQI_bestCQIScheduler-0-20180914-17:34:46-26852,runattr,,,experiment,UniformCQI_bestCQIScheduler,
UniformCQI_bestCQIScheduler-0-20180914-17:34:46-26852,runattr,,,inifile,omnetpp.ini,
UniformCQI_bestCQIScheduler-0-20180914-17:34:46-26852,runattr,,,iterationvars,$usertraffic=0.1,
UniformCQI_bestCQIScheduler-0-20180914-17:34:46-26852,runattr,,,iterationvarsf,usertraffic=0.1-,
UniformCQI_bestCQIScheduler-0-20180914-17:34:46-26852,runattr,,,measurement,$usertraffic=0.1,
UniformCQI_bestCQIScheduler-0-20180914-17:34:46-26852,runattr,,,network,rrcellnet.CellularNetwork,
UniformCQI_bestCQIScheduler-0-20180914-17:34:46-26852,runattr,,,processid,26852,
UniformCQI_bestCQIScheduler-0-20180914-17:34:46-26852,runattr,,,repetition,0,
UniformCQI_bestCQIScheduler-0-20180914-17:34:46-26852,runattr,,,replication,#0,
UniformCQI_bestCQIScheduler-0-20180914-17:34:46-26852,runattr,,,resultdir,results,
UniformCQI_bestCQIScheduler-0-20180914-17:34:46-26852,runattr,,,runnumber,0,
UniformCQI_bestCQIScheduler-0-20180914-17:34:46-26852,runattr,,,seedset,0,
UniformCQI_bestCQIScheduler-0-20180914-17:34:46-26852,itervar,,,usertraffic,0.1,
UniformCQI_bestCQIScheduler-0-20180914-17:34:46-26852,param,,,**.bestCQIScheduler,true,
UniformCQI_bestCQIScheduler-0-20180914-17:34:46-26852,param,,,**.webServer[*].lambda,0.1,
UniformCQI_bestCQIScheduler-0-20180914-17:34:46-26852,param,,,**.bestCQIScheduler,false,
UniformCQI_bestCQIScheduler-0-20180914-17:34:46-26852,param,,,CellularNetwork.users[*].isBinomial,false,
UniformCQI_bestCQIScheduler-0-20180914-17:34:46-26852,param,,,**.nUsersCell,10,
UniformCQI_bestCQIScheduler-0-20180914-17:34:46-26852,param,,,**.**.timeFramePeriod,1ms,
UniformCQI_bestCQIScheduler-0-20180914-17:34:46-26852,param,,,**.**.nFrameSlots,25,
UniformCQI_bestCQIScheduler-0-20180914-17:34:46-26852,param,,,**.webServer[*].size_uniform_a,3,
UniformCQI_bestCQIScheduler-0-20180914-17:34:46-26852,param,,,**.webServer[*].size_uniform_b,75,
UniformCQI_bestCQIScheduler-0-20180914-17:34:46-26852,param,,,CellularNetwork.users[*].cqi_binomial_n,14,
UniformCQI_bestCQIScheduler-0-20180914-17:34:46-26852,param,,,CellularNetwork.users[*].cqi_binomial_p,0.5,
UniformCQI_bestCQIScheduler-0-20180914-17:34:46-26852,param,,,CellularNetwork.users[*].validationCQI,false,
UniformCQI_bestCQIScheduler-0-20180914-17:34:46-26852,param,,,CellularNetwork.users[*].fixedCQI,0,
UniformCQI_bestCQIScheduler-0-20180914-17:34:46-26852,param,,,**.webServer[*].fixedRate,false,
UniformCQI_bestCQIScheduler-1-20180914-17:34:46-26854,runattr,,,configname,UniformCQI_bestCQIScheduler,
UniformCQI_bestCQIScheduler-1-20180914-17:34:46-26854,runattr,,,datetime,20180914-17:34:46,
UniformCQI_bestCQIScheduler-1-20180914-17:34:46-26854,runattr,,,experiment,UniformCQI_bestCQIScheduler,
UniformCQI_bestCQIScheduler-1-20180914-17:34:46-26854,runattr,,,inifile,omnetpp.ini,
UniformCQI_bestCQIScheduler-1-20180914-17:34:46-26854,runattr,,,iterationvars,$usertraffic=0.1,
UniformCQI_bestCQIScheduler-1-20180914-17:34:46-26854,runattr,,,iterationvarsf,usertraffic=0.1-,
UniformCQI_bestCQIScheduler-1-20180914-17:34:46-26854,runattr,,,measurement,$usertraffic=0.1,
