run,type,module,name,attrname,attrvalue,value
RegressionTest-2-20180920-01:30:51-7731,runattr,,,repetition,2,
RegressionTest-2-20180920-01:30:51-7731,runattr,,,replication,#2,
RegressionTest-2-20180920-01:30:51-7731,runattr,,,resultdir,results,
RegressionTest-2-20180920-01:30:51-7731,runattr,,,runnumber,2,
RegressionTest-2-20180920-01:30:51-7731,runattr,,,seedset,2,
RegressionTest-2-20180920-01:30:51-7731,itervar,,,usertraffic,0.1,
RegressionTest-2-20180920-01:30:51-7731,param,,,**.nUsersCell,1,
RegressionTest-2-20180920-01:30:51-7731,param,,,**.webServer[*].lambda,0.1,
RegressionTest-2-20180920-01:30:51-7731,param,,,CellularNetwork.users[*].isBinomial,false,
RegressionTest-2-20180920-01:30:51-7731,param,,,**.bestCQIScheduler,false,
RegressionTest-2-20180920-01:30:51-7731,param,,,**.**.timeFramePeriod,1ms,
RegressionTest-2-20180920-01:30:51-7731,param,,,**.**.nFrameSlots,25,
RegressionTest-2-20180920-01:30:51-7731,param,,,**.webServer[*].size_uniform_a,3,
RegressionTest-2-20180920-01:30:51-7731,param,,,**.webServer[*].size_uniform_b,75,
RegressionTest-2-20180920-01:30:51-7731,param,,,CellularNetwork.users[*].cqi_binomial_n,14,
RegressionTest-2-20180920-01:30:51-7731,param,,,CellularNetwork.users[*].cqi_binomial_p,0.5,
RegressionTest-2-20180920-01:30:51-7731,param,,,CellularNetwork.users[*].validationCQI,false,
RegressionTest-2-20180920-01:30:51-7731,param,,,CellularNetwork.users[*].fixedCQI,0,
RegressionTest-2-20180920-01:30:51-7731,param,,,**.webServer[*].fixedRate,false,
RegressionTest-3-20180920-01:30:51-7752,runattr,,,configname,RegressionTest,
RegressionTest-3-20180920-01:30:51-7752,runattr,,,datetime,20180920-01:30:51,
RegressionTest-3-20180920-01:30:51-7752,runattr,,,experiment,RegressionTest,
RegressionTest-3-20180920-01:30:51-7752,runattr,,,inifile,omnetpp.ini,
RegressionTest-3-20180920-01:30:51-7752,runattr,,,iterationvars,$usertraffic=0.1,
RegressionTest-3-20180920-01:30:51-7752,runattr,,,iterationvarsf,usertraffic=0.1-,
RegressionTest-3-20180920-01:30:51-7752,runattr,,,measurement,$usertraffic=0.1,
RegressionTest-3-20180920-01:30:51-7752,runattr,,,network,rrcellnet.CellularNetwork,
RegressionTest-3-20180920-01:30:51-7752,runattr,,,processid,7752,
RegressionTest-3-20180920-01:30:51-7752,runattr,,,repetition,3,
RegressionTest-3-20180920-01:30:51-7752,runattr,,,replication,#3,
RegressionTest-3-20180920-01:30:51-7752,runattr,,,resultdir,results,
RegressionTest-3-20180920-01:30:51-7752,runattr,,,runnumber,3,
RegressionTest-3-20180920-01:30:51-7752,runattr,,,seedset,3,
RegressionTest-3-20180920-01:30:51-7752,itervar,,,usertraffic,0.1,
RegressionTest-3-20180920-01:30:51-7752,param,,,**.nUsersCell,1,
RegressionTest-3-20180920-01:30:51-7752,param,,,**.webServer[*].lambda,0.1,
RegressionTest-3-20180920-01:30:51-7752,param,,,CellularNetwork.users[*].isBinomial,false,
RegressionTest-3-20180920-01:30:51-7752,param,,,**.bestCQIScheduler,false,
RegressionTest-3-20180920-01:30:51-7752,param,,,**.**.timeFramePeriod,1ms,
RegressionTest-3-20180920-01:30:51-7752,param,,,**.**.nFrameSlots,25,
RegressionTest-3-20180920-01:30:51-7752,param,,,**.webServer[*].size_uniform_a,3,
